Unity Key,English,German,Italian,Ukrainian,Bulgarian,French,Polish,Portuguese,Hungarian,Japanese,Korean,Russian,Spanish,Thai,Chinese (Simplified),"Chinese (Traditional, Hong Kong)",Indonesian,Turkish,Spanish Latin American
modio_btn_disablemod,Disable Mod,Mod deaktivieren,Disabilita mod,Деактивувати мод,Деактивиране на мод,Désactiver le mod,Wyłącz moda,Desativar mod,Mod kikapcsolása,Modを無効にする,모드 해제,Отключить мод,Desactivar mod,ปิดใช้งานม็อด,禁用模组,停用模組,Nonaktifkan Mod,Modu Devre Dışı Bırak,Desactivar mod
modio_btn_disabled,Disabled,Deaktiviert,Disabilitata,Деактивовано,Деактивирано,Désactivé,Wyłączono,Desativado,Kikapcsolva,無効,해제,Отключено,Desactivado,ปิดใช้งานแล้ว,已禁用,已停用,Dinonaktifkan,Devre Dışı,Desactivado
modio_moddepends_cta_desctription,Do you want to Subscribe and Download these mods?,Willst du diese Mods abonnieren und herunterladen?,Vuoi iscriverti e scaricare queste mod?,Бажаєте підписатися й завантажити ці моди?,Искате ли да се абонирате и да изтеглите тези модове?,Voulez-vous vous abonner et télécharger ces mods ?,Chcesz subskrybować i pobrać te mody?,Queres subscrever e transferir estes mods?,Szeretnél feliratkozni ezekre a modokra és letölteni őket?,これらのModをサブスクライブしてダウンロードしますか？,해당 모드를 구독하고 다운로드하시겠습니까?,Вы хотите подписаться и загрузить эти моды?,¿Quieres suscribirte y descargar estos mods?,คุณต้องการติดตามและดาวน์โหลดม็อดเหล่านี้หรือไม่,您是否要订阅并下载这些模组？,是否要訂閱並下載這些模組？,Apakah Anda mau Berlangganan dan Mengunduh mod ini?,Bu modlara abone olup onları indirmek istiyor musun?,¿Quieres suscribir y descargar estos mods?
modio_modstate_error,Download Failed,Download fehlgeschlagen,Download non riuscito,Помилка завантаження,Неуспешно изтегляне,Échec du téléchargement,Pobieranie nieudane,Transferência falhada,A letöltés meghiúsult,ダウンロードできませんでした,다운로드 실패,Ошибка загрузки,Error al descargar,ไม่สามารถดาวน์โหลดได้,下载失败,下載失敗,Pengunduhan Gagal,İndirme Başarısız Oldu,Error de descarga
modio_modview_downloads,Downloads,Downloads,Download,Завантаження,Изтегляния,Téléchargements,Pobrane,Transferências,Letöltések,ダウンロード数,다운로드,Загрузки,Descargas,การดาวน์โหลด,下载的内容,下載數,Unduhan,İndirmeler,Descargas
modio_btn_enabled,Enabled,Aktiviert,Abilitata,Активовано,Активирано,Activé,Włączone,Ativado,Bekapcsolva,有効,활성화,Включено,Activado,เปิดใช้งานแล้ว,已启用,已啟用,Diaktifkan,Etkin,Habilitado
modio_modstatus_extracting,Extracting,Wird extrahiert,Estrazione in corso,Розпаковується,Извличане,Extraction en cours,Wypakowywanie,A extrair,Kicsomagolás,抽出中,추출 중,Извлечение,Extrayendo,กำลังแตกไฟล์,正在提取,正在擷取,Sedang Mengekstrak,Çıkartılıyor,Extrayendo
modio_report_details_email,Email Address,E-Mail-Adresse,Indirizzo e-mail,Адреса електронної пошти,Имейл адрес,Adresse e-mail,Adres e-mail,Endereço de email,E-mail-cím,メールアドレス,이메일 주소,Адрес эл. почты,Dirección de correo electrónico,ที่อยู่อีเมล,电子邮箱地址,電子郵件地址,Alamat Email,E-posta Adresi,Correo electrónico
modio_btn_enablemod,Enable Mod,Mod aktivieren,Abilita mod,Активувати мод,Активиране на мод,Activer le mod,Wyłącz moda,Ativar mod,Mod engedélyezése,Modを有効にする,모드 활성화,Включить мод,Activar mod,ม็อดที่เปิดใช้งาน,启用模组,啟用模組,Aktifkan Mod,Modu Etkinleştir,Habilitar mod
modio_auth_code_prompt,Enter Code,Code eingeben,Inserisci codice,Введіть код,Въведете код,Entrer le code,Podaj kod,Introduzir código,Add meg a kódot,コードを入力,코드 입력,Введите код,Introducir código,ป้อนรหัส,输入验证码,輸入驗證碼,Masukkan Kode,Kodu Gir,Ingresar código
modio_report_details,Enter Report Details...,Details der Meldung eingeben ...,Inserisci i dettagli della segnalazione...,Вкажіть подробиці скарги,Въведете подробности за доклада...,Saisir les détails du rapport…,Podaj szczegóły raportu...,Introduzir detalhes sobre a denúncia...,Add meg a jelentés részleteit…,報告の詳細を入力…,신고할 내용을 상세하게 입력하세요...,Опишите ситуацию...,Introducir detalles del informe...,ป้อนรายละเอียดการรายงาน...,输入报告的详细内容……,輸入檢舉詳細內容……,Masukkan Detail Laporan...,Rapor Ayrıntılarını Gir...,Ingresar detalles del informe
modio_error_generic_header,Error,Fehler,Errore,Помилка,Грешка,Erreur,Błąd,Erro,Hiba,エラー,오류,Ошибка,Error,เกิดข้อผิดพลาด,错误,錯誤,Salah,Hata,Error
modio_btn_expanddesc,Full Description,Vollständige Beschreibung,Descrizione completa,Повний опис,Пълно описание,Description complète,Pełny opis,Descrição Completa,Teljes leírás,詳細な説明,상세 설명,Полное описание,Descripción completa,คำอธิบายแบบเต็ม,完整描述,完整說明,Deskripsi Lengkap,Descripción completa,Uzun Açıklama
modio_modview_filesize,File size,Dateigröße,Dimensioni del file,Розмір файлу,Размер на файла,Taille du fichier,Wielkość pliku,Tamanho do ficheiro,Fájlméret,ファイルサイズ,파일 크기,Размер файла,Tamaño del archivo,ขนาดไฟล์,文件大小,檔案大小,Ukuran File,Dosya boyutu,Tamaño del archivo
modio_btn_filter,Filter,Filter,Filtro,Фільтрувати,Филтър,Filtre,Filtr,Filtrar,Szűrő,フィルタ,필터,Фильтр,Filtrar,ตัวกรอง,筛选器,篩選器,Filter,Filtre,Filtrar
modio_btn_auth_havecode,I Have A Code,Ich habe einen Code,Ho un codice,У мене є код,Имам код,J’ai un code,Mam kod,Tenho um código,Van kódom,コードを所有,코드를 보유하고 있습니다,У меня есть код,Tengo un código,ฉันมีรหัส,我有验证码,我有驗證碼,Aku Punya Kode,Bir Kodum Var,Tengo un código
modio_modstatus_initializing,Initializing,Wird initialisiert,Inizializzazione in corso,Підготовка,Инициализиране,Initialisation,Inicjalizacja,A inicializar,Inicializálás,初期化中,초기값 설정 중,Инициализация,Inicializando,กำลังเริ่ม,正在初始化,正在初始化,Menginisialisasi,Hazırlanıyor,Inicializando
modio_inputprompt_dependencies,Inspect Dependencies,Abhängigkeiten prüfen,Controlla le dipendenze,Перевірити на залежності,Проверка на зависимостите,Examiner les dépendances,Sprawdź zależności,Inspecionar dependências,Függő elemek vizsgálata,必須Modを確認,종속성 검사,Посмотреть необходимые компоненты,Inspeccionar dependencias,ตรวจสอบไฟล์ที่จำเป็น,检查依赖模组,檢查依賴模組,Periksa Ketergantungan,Gerekli Modları İncele,Inspeccionar dependencias
modio_filter_installed,Installed,Installiert,Installata,Встановлено,Инсталиран,Installé,Zainstalowano,Instalado,Telepítve,インストール済,설치 완료,Установлено,Instalado,ติดตั้งแล้ว,已安装,已安裝,Dipasang,Kurulu,Instalado
modio_modstate_others,Installed by Others,Von anderen installiert,Installata da altri,Встановлено іншими,Инсталиран от други,Installé par d’autres,Zainstalowane przez innych,Instalado por outros,Mások telepítették,他のユーザーがインストール済,다른 사용자에 의해 설치됨,Установлено другими,Instalado por otros,ติดตั้งโดยผู้อื่น,已由其他用户安装,已由他人安裝,Dipasang oleh Orang Lain,Başka Kullanıcıda Kurulu,Instalado por otros
modio_modstate_installing,Installing,Wird installiert,Installazione in corso,Встановлюється,Инсталира се,Installation en cours,Instalowanie,A instalar,Telepítés,インストール中,설치 중,Установка,Instalando,กำลังติดตั้ง,正在安装,正在安裝,Sedang Memasang,Kuruluyor,Instalando
modio_tokens_header_insufficient,Insufficient Tokens,Unzureichende Token,Gettoni insufficienti,Недостатньо жетонів,Недостатъчни токени,Jetons insuffisants,Za mało żetonów,Tokens insuficientes,Nincs elegendő zseton,トークンが不足,토큰 부족,Недостаточно жетонов,Fichas insuficientes,โทเคนไม่เพียงพอ,代币不足,代幣不足,Token Tidak Cukup,Yetersiz Jeton,Tokens insuficientes
modio_auth_failed_description,Invalid security code. Please check your email for your code and try again.,Ungültiger Sicherheitscode. Bitte überprüfe den Code in deiner E-Mail und versuche es erneut.,Codice di sicurezza non valido. Controlla il codice nell'e-mail e riprova.,"Код безпеки недійсний. Перевірте, чи надійшов код на вашу електронну пошту, та спробуйте знову.",Невалиден код за сигурност. Проверете имейла си за вашия код и опитайте отново.,Code de sécurité non valide. Veuillez consulter l’e-mail contenant le code et réessayer.,Błędny kod bezpieczeństwa. Sprawdź kod w e-mailu i spróbuj ponownie.,Código de segurança inválido. Verifica o código no teu email e tenta novamente.,"Érvénytelen biztonsági kód. Kérjük, keresd meg e-mailjeidnél a kódot, és próbálkozz újra.",無効なセキュリティコードです。メール内のコードを確認して、もう一度お試しください。,유효하지 않은 보안 코드입니다. 이메일에서 코드를 확인하고 다시 시도해 주십시오.,Неверный код безопасности. Найдите в своем почтовом ящике код и повторите попытку.,Código de seguridad inválido. Consulta el código en tu correo electrónico e inténtalo de nuevo.,รหัสความปลอดภัยไม่ถูกต้อง โปรดตรวจสอบอีเมลเพื่อหารหัสของคุณแล้วลองใหม่อีกครั้ง,无效的安全代码。请确认电子邮件中的验证码并重试。,無效安全碼。請確認電子郵件內的驗證碼，並再試一次。,Kode keamanan tidak valid. Silakan periksa email Anda untuk kode Anda dan coba lagi.,Geçersiz güvenlik kodu. Lütfen e-posta adresine gelen kodu kontrol et ve tekrar dene.,Código de seguridad incorrecto. Revisa tu correo e ingrésalo nuevamente.
modio_page_library,Library,Bibliothek,Libreria,Бібліотека,Библиотека,Bibliothèque,Biblioteka,Biblioteca,Könyvtár,ライブラリ,라이브러리,Библиотека,Biblioteca,ไลบรารี,模组库,模組庫,Perpus,Kütüphane,Biblioteca
modio_modstate_dependencies,Missing Dependencies,Fehlende Abhängigkeiten,Dipendenze mancanti,Бракує деяких залежностей,Липсващи зависимости,Dépendances manquantes,Brakujące zależności,Dependências em falta,Hiányzó függőségek,必須Modが不足,종속성 누락,Отсутствуют необходимые компоненты,Faltan dependencias,ไฟล์ที่จำเป็นที่หายไป,缺少依赖模组,缺少依賴模組,Ketergantungan yang Hilang,Gerekli Modlar Eksik,Dependencias no encontradas
modio_btn_moddependencies,Dependencies,Abhängigkeiten,Dipendenze,Залежності,Зависимости,Dépendances,Zależności,Dependências,Függő elemek,必須Mod,종속성,Необходимые компоненты,Dependencias,ไฟล์ที่จำเป็น,依赖模组,依賴模組,Ketergantungan,Gerekli Modlar,Dependencias
modio_moddesc_header,Mod Description,Mod-Beschreibung,Descrizione mod,Опис моду,Описание на мод,Description du mode,Opis moda,Descrição do mod,Mod leírása,Modの説明,모드 설명,Описание мода,Descripción del mod,คำอธิบายม็อด,模组描述,模組說明,Deskripsi Mod,Mod Açıklaması,Descripción de mod
modio_inputprompt_modoptions,Mod Options,Mod-Optionen,Opzioni mod,Параметри моду,Опции на мод,Options du mode,Opcje moda,Opções do mod,Modopciók,Modオプション,모드 옵션,Параметры мода,Opciones del mod,ตัวเลือกม็อด,模组选项,模組選項,Pilihan Mod,Mod Ayarları,Opciones de mod
modio_page_mods,Mods,Mods,Mod,Моди,Модове,Mods,Mody,Mods,Modok,Mod,모드,Моды,Mods,ม็อด,模组,模組,Mod,Modlar,Mods
modio_btn_morefromcreator,More From Creator,Mehr von diesem Creator,Altre da questo creatore,Інші моди автора,Още от създателя,Du même créateur,Więcej od tego twórcy,Mais do criador,Továbbiak az alkotótól,同じクリエイターの他のMod,크리에이터의 설명,Другие работы автора,Más del creador,เพิ่มเติมจากผู้สร้าง,该创作者的其他模组,該創作者模組,Lebih Banyak dari Kreator,Bu Geliştiriciden Daha Fazlası,Más del creador
modio_search_results_none,No Results Found,Keine Ergebnisse gefunden,Nessun risultato trovato,Нічого не знайдено,Не са открити резултати,Aucun résultat trouvé,Nie znaleziono wyników,Nenhum resultado encontrado,Nincs találat,検索結果が見つかりません,결과 없음,Ничего не найдено,No hay resultados,ไม่พบผลลัพธ์,未找到结果,查無結果,Tidak Ada Hasil yang Ditemukan,Sonuç Bulunamadı,No se encontraron resultados
modio_btn_ok,OK,OK,Ok,OK,ОК,OK,OK,OK,OK,OK,확인,ОК,Aceptar,ตกลง,好的,我知道了,OKE,Tamam,De acuerdo
modio_btn_purchasemod,Purchase Mod,Mod kaufen,Acquista mod,Придбати мод,Покупка на мод,Acheter le mod,Kup moda,Comprar mod,Mod megvásárlása,Modを購入,모드 구매,Купить мод,Comprar mod,ซื้อม็อด,购买模组,購買模組,Beli Mod,Modu Satın Al,Adquirir mod
modio_auth_code_description,Please check your email for your code and enter it below.,Bitte überprüfe den Code in deiner E-Mail und gib ihn unterhalb ein.,Controlla il codice nell'e-mail e inseriscilo qui sotto.,Знайдіть код на електронній пошті та введіть його нижче.,Проверете имейла си за вашия код и го въведете по-долу.,Veuillez consulter l’e-mail contenant le code et saisissez-le ci-dessous.,Sprawdź kod w e-mailu i wpisz go poniżej.,Verifica o código no teu email e introduz abaixo.,"Kérjük, keresd meg e-mailjeidnél a kódot, és alább add meg.",メール内のコードを確認して、以下に入力してください。,이메일에서 코드를 확인하고 아래에 다시 입력하여 주십시오.,Найдите в своем почтовом ящике код и введите его ниже.,Consulta el código en tu correo electrónico e inténtalo de nuevo.,โปรดตรวจสอบอีเมลเพื่อหารหัสของคุณแล้วป้อนรหัสด้านล่าง,请确认电子邮件中的验证码，并在下方输入。,請查看電子郵件內的驗證碼，並在下方輸入。,Silakan periksa email Anda untuk kode Anda dan masukkan di bawah.,Lütfen e-posta adresine gelen kodu kontrol et ve aşağıya gir.,Revisa tu correo e ingresa el código enviado a continuación.
modio_report_reason,Please choose one of the following reasons:,Bitte wähle einen der folgenden Gründe:,Scegli uno dei seguenti motivi:,"Будь ласка, оберіть одну з причин:",Изберете една от следните причини:,Veuillez choisir l’une des raisons suivantes :,Wybierz jeden z poniższych powodów:,Escolhe um dos seguintes motivos:,"Kérjük, válassz egyet a következő okok közül:",以下の理由から1つ選択してください：,다음 사유 중 하나를 선택해 주십시오:,Выберите одну из следующих причин:,Elige uno de los siguientes motivos:,โปรดเลือกเหตุผลข้อใดข้อหนึ่งต่อไปนี้:,请从以下原因中选择一项：,請從以下原因中選擇一項：,Silakan pilih satu dari alasan berikut:,Lütfen şu nedenlerden birini seç:,Elige uno de los motivos a continuación:
modio_auth_email_description,Please enter your email address.,Bitte gib deine E-Mail-Adresse ein.,Inserisci il tuo indirizzo e-mail.,Введіть вашу адресу електронної пошти.,Въведете своя имейл адрес.,Veuillez saisir votre adresse e-mail.,Podaj adres e-mail.,Introduz o teu endereço de email.,Add meg az e-mail-címedet.,メールアドレスを入力してください。,이메일 주소를 입력해 주십시오.,Введите свой адрес электронной почты.,Introduce tu dirección de correo electrónico.,โปรดป้อนที่อยู่อีเมลของคุณ,请输入您的电子邮箱地址。,請輸入您的電子郵件地址。,Silakan masukkan alamat email Anda.,Lütfen e-posta adresini gir.,Ingresa tu correo electrónico.
modio_auth_wss_description,On another device please visit mod.io/connect and enter the code below.
modio_purchase_processing,Please wait while we process your purchase.,"Bitte warte, bis wir deinen Kauf verarbeitet haben.",Attendi mentre elaboriamo il tuo acquisto.,"Зачекайте, поки ми обробимо вашу купівлю.","Моля, изчакайте, докато обработим вашата покупка.",Veuillez patienter pendant que nous traitons votre achat.,Zaczekaj na przetworzenie swojego zakupu.,Espera enquanto processamos a tua compra.,"Várj, amíg feldolgozzuk vásárlásodat.",購入処理が完了するまでお待ちください。,구매를 처리하는 동안 잠시만 기다려 주세요.,"Пожалуйста, подождите, пока мы обрабатываем вашу покупку.",Espera mientras procesamos la compra.,โปรดรอขณะที่เรากำลังประมวลผลการซื้อของคุณ,正在处理您的购买，请稍等。,請等待我們處理您的購買。,Harap menunggu saat kami memproses pembelian Anda.,Lütfen satın alımın gerçekleşirken bekle.,Espera mientras procesamos tu compra.
modio_filter_popular,Popular,Beliebt,Popolari,Популярні,Популярни,Populaire,Popularne,Populares,Népszerű,人気,인기 상품,Популярное,Popularidad,ยอดนิยม,热门,熱門,Populer,Popüler,Popular
modio_modstate_premium,Premium Mod,Premium-Mod,Mod premium,Преміум-моди,Премиум мод,Mod premium,Mod premium,Mod Premium,Premium mod,プレミアムMod,프리미엄 모드,Премиум-мод,Mod prémium,ม็อดพรีเมียม,付费模组,付費模組,Mod Premium,Premium Mod,Mod prémium
modio_btn_prioritizemod,Prioritize Mod,Mod priorisieren,Dai la precedenza alle mod,Встановити пріоритет,Приоритизиране на мод,Afficher ce mod en priorité,Nadaj priorytet modowi,Priorizar mod,Mod priorizálása,優先Mod,모드 우선 지정,Сделать мод приоритетным,Priorizar mod,จัดลำดับความสำคัญม็อด,优先此模组,優先模組,Prioritaskan Mod,Moda Öncelik Ver,Mod prémium
modio_btn_privacy,Privacy Policy,Datenschutzerklärung,Informativa sulla privacy,Політика конфіденційності,Политика за поверителност,Politique de confidentialité,Polityka Prywatności,Política de Privacidade,Adatvédelmi irányelvek,プライバシーポリシー,개인정보 보호정책,Политика конфиденциальности,Política de privacidad,นโยบายความเป็นส่วนตัว,隐私政策,隱私權政策,Kebijakan Privasi,Gizlilik Politikası,Política de privacidad
modio_modstate_purchased,Purchased,Gekauft,Acquistata,Придбано,Закупени,Acheté,Zakupiono,Comprado,Megvásárolt,購入済,구매 완료,Куплено,Comprado,ซื้อแล้ว,已购买,已購買,Dibeli,Satın Alındı,Comprado
modio_filter_purchases,Purchases,Käufe,Acquisti,Придбані,Покупки,Achats,Zakupy,Compras,Vásárlások,購入数,구매 목록,Покупки,Compras,รายการซื้อ,购买,購買,Pembelian,Satın Alınanlar,Compras
modio_modstate_queued,Queued,In der Warteschlange,In coda,У черзі,На опашката,En file d’attente,W kolejce,Na fila,Sorban,キュー追加済,대기열,В очереди,En cola,อยู่ในคิว,已加入队列,待下載,Mengantre,Sırada,En fila de descarga
modio_btn_menu_quit,QUIT,VERLASSEN,CHIUDI,ВИЙТИ,ИЗХОД,QUITTER,WYJŚCIE,SAIR,KILÉPÉS,終了,그만두기,ВЫЙТИ,SALIR,ออก,退出,離開,KELUAR,ÇIK,SALIR
modio_modview_rating,Rating,Bewertung,Valutazione,Рейтинг,Оценка,Note,Ocena,Classificação,Értékelés,レーティング,평가,Рейтинг,Calificación,คะแนน,评分,評分,Nilai,Beğenilme,Valoración
modio_filter_recent,Recent,Neueste,Recenti,Найновіші,Скорошни,Récent,Najnowsze,Recentes,Friss,新着,최근,Недавнее,Recientes,ล่าสุด,最近,最近,Belakangan Ini,Yeni,Reciente
modio_modview_released,Released,Veröffentlicht,Data di rilascio,Дата виходу,Дата на излизане,Date de sortie,Wydane,Lançamento,Megjelent,リリース日,출시일,Выпущено,Publicación,เปิดตัวแล้ว,已发布,釋出,Dirilis,Yayınlanma Tarihi,Lanzado
modio_report_title,Report A Problem,Ein Problem melden,Segnala un problema,Повідомити про проблему,Докладвайте за проблем,Signaler un problème,Zgłoś problem,Denunciar um problema,Probléma jelentése,問題を報告する,문제 신고,Сообщить о проблеме,Informar de un problema,รายงานปัญหา,报告问题,回報問題,Laporkan Masalah,Bir Sorun Bildir,Reportar un problema
modio_report_details_header,Report Details (required),Details der Meldung (erforderlich),Dettagli della segnalazione (campo obbligatorio),Подробиці проблеми (обов'язково),Подробности за доклада (задължително),Détails du rapport (requis),Szczegóły raportu (wymagane),Detalhes sobre a denúncia (obrigatório),Jelentés részletei (kötelező),報告の詳細（必須）,신고서 상세 내용(필요),Сообщить подробности (обязательно),Detalles del informe (necesarios),รายละเอียดการรายงาน (จำเป็น),报告详情（必填）,檢舉詳細內容（必填）,Detail Laporan (wajib),Rapor Ayrıntıları (gerekli),Ingresar detalles (obligatorio)
modio_btn_reportmod,Report Mod,Mod melden,Segnala mod,Поскаржитися на мод,Докладване на мод,Signaler le mod,Zgłoś moda,Denunciar mod,Mod jelentése,Modを報告,모드 신고,Пожаловаться на мод,Denunciar mod,รายงานม็อด,报告模组,檢舉模組,Laporkan Mod,Modu Bildir,Reportar mod
modio_search_resultsfor,Results for:,Ergebnisse für:,Risultati per:,Результати для:,Резултати за:,Résultats pour :,Wyniki dla:,Resultados para:,Eredmények ehhez:,検索結果：,결과:,Результаты для:,Resultados para:,ผลลัพธ์สำหรับ:,搜索结果：,搜尋內容：,Hasil untuk:,Şunun sonuçları gösteriliyor:,Resultados para:
modio_btn_retrydownload,Retry Download,Download wiederholen,Riprova il download,Завантажити ще раз,Повторен опит за изтегляне,Réessayer de télécharger,Ponów pobieranie,Voltar a tentar transferência,Újabb letöltési kísérlet,再ダウンロード,다운로드 재시도,Повторить загрузку,Reintentar descarga,ดาวน์โหลดใหม่อีกครั้ง,重试下载,再次下載,Coba Mengunduh Lagi,Tekrar İndirmeyi Dene,Reintentar descarga
